CELL_ID,outflow,inflow,total
다사46754800,5583.7,5926.01,11509.71
다사43004800,5778.91,5728.52,11507.44
다사57505250,5799.41,5707.8,11507.21
다사58754600,5820.34,5672.19,11492.52
다사63505525,5661.73,5828.43,11490.15
다사49755575,5863.39,5624.77,11488.16
다사68504450,5760.76,5726.54,11487.3
다사66504775,5890.18,5596.28,11486.46
다사64254525,5731.59,5753.64,11485.23
다사48754500,5829.78,5647.03,11476.82
다사53255125,5724.74,5737.3,11462.05
다사60506075,5865.02,5584.73,11449.75
다사58504300,5673.58,5775.83,11449.41
다사57505800,5772.73,5667.99,11440.72
다사58754475,5657.85,5750.83,11408.68
다사49004375,5704.34,5703.6,11407.95
다사53255025,5579.46,5824.43,11403.88
다사67254725,5738.99,5663.56,11402.55
다사62256125,5374.32,6026.1,11400.42
다사50255000,6299.53,5089.13,11388.66
다사61506075,5704.27,5683.11,11387.38
다사56004450,6238.53,5133.68,11372.21
다사48505250,5807.2,5550.1,11357.3
다사61005200,5740.2,5586.65,11326.84
다사52505125,5637.68,5658.02,11295.7
다사61256125,5602.32,5692.48,11294.8
다사60006325,5664.57,5627.18,11291.74
다사59506150,5692.9,5566.01,11258.9
다사50505075,5578.5,5672.97,11251.48
다사44004450,5624.22,5612.79,11237.01
다사57755750,5604.29,5632.16,11236.45
다사61254550,5697.22,5535.51,11232.73
다사62006175,5679.45,5543.07,11222.52
다사48255000,5551.39,5667.03,11218.42
다사48005600,5845.18,5369.2,11214.39
다사58005625,5636.08,5576.72,11212.8
다사53005050,4361.83,6840.83,11202.66
다사48755050,5284.22,5918.17,11202.39
다사50504975,5541.1,5660.37,11201.47
다사42754425,5668.98,5529.83,11198.81
다사42505050,5524.77,5665.64,11190.42
다사57505025,5500.13,5685.54,11185.66
다사48004400,5649.84,5528.8,11178.64
다사47754450,5698.54,5474.91,11173.45
다사51005150,7002.33,4165.46,11167.79
다사42754650,5705.04,5456.59,11161.62
다사47004850,5374.37,5774.86,11149.23
다사51505350,5663.56,5472.83,11136.39
다사59006200,5601.47,5534.75,11136.22
다사48755275,5719.36,5413.91,11133.27
다사46504775,5543.78,5566.01,11109.8
다사43005100,5689.16,5420.43,11109.59
다사66754375,5659.15,5437.47,11096.63
다사46254300,5536.95,5558.02,11094.98
다사51005000,5564.37,5524.82,11089.19
다사46004050,5674.2,5378.32,11052.52
다사53254800,5224.5,5827.62,11052.11
다사41005025,5721.55,5320.47,11042.01
다사57754450,4682.18,6344.06,11026.24
다사48005275,5596.06,5427.09,11023.15
다사57754550,5059.59,5958.12,11017.71
다사65254525,5438.89,5564.16,11003.05
다사59756250,5635.13,5357.18,10992.3
다사51254275,5635.87,5323.39,10959.25
다사60504875,5391.0,5566.39,10957.39
다사59504650,5673.63,5281.86,10955.49
다사48755000,5202.45,5740.7,10943.15
다사53005300,5462.29,5477.52,10939.82
다사60504400,5188.62,5741.68,10930.29
다사65254625,5414.2,5506.36,10920.57
다사57255250,5465.52,5451.81,10917.32
다사58005100,5572.85,5338.93,10911.78
다사59504950,5408.61,5501.86,10910.47
다사60505250,5562.25,5344.58,10906.83
다사50754875,5481.97,5420.02,10901.99
다사57254650,5424.64,5467.21,10891.85
다사41004925,5742.11,5128.72,10870.82
다사52254550,5238.53,5617.52,10856.06
다사62255275,5426.23,5427.11,10853.33
다사63754600,5501.11,5349.44,10850.55
다사49504750,5410.24,5435.85,10846.08
다사50004575,5346.74,5495.39,10842.13
다사58754000,5345.03,5491.01,10836.04
다사58254600,5455.06,5377.56,10832.62
다사49005575,5466.79,5365.72,10832.51
다사61506000,5476.35,5353.75,10830.09
다사46755225,5024.02,5788.01,10812.03
다사64505700,5442.47,5367.18,10809.65
다사61256100,5599.24,5203.3,10802.53
다사60255650,5504.91,5281.47,10786.39
다사48505100,5406.09,5377.32,10783.41
다사65505725,5505.8,5273.07,10778.87
다사67254975,5526.15,5252.57,10778.72
다사45754875,5553.86,5215.12,10768.97
다사56505200,5359.21,5402.49,10761.7
다사56505675,5394.65,5342.11,10736.75
다사62504375,5406.41,5326.83,10733.24
다사58255800,5324.97,5400.25,10725.22
다사66004700,5413.78,5300.45,10714.23
다사47255175,5369.31,5342.69,10712.0
다사58255075,5481.14,5227.16,10708.31
다사60004400,5379.76,5328.47,10708.23
다사49754425,5494.99,5210.31,10705.3
다사48755575,5403.24,5293.57,10696.81
다사44754800,5346.03,5329.15,10675.18
다사64255575,5414.54,5256.57,10671.1
다사69505000,5603.44,5062.9,10666.35
다사43755025,5283.41,5380.88,10664.3
다사61755925,5432.72,5227.65,10660.37
다사53004275,5352.57,5301.42,10653.98
다사58255550,5425.02,5225.12,10650.14
다사53004825,5140.76,5486.7,10627.46
다사57754675,5132.84,5491.05,10623.89
다사60754500,5429.4,5191.97,10621.37
다사50754200,5414.73,5206.5,10621.24
다사58754625,5264.93,5355.26,10620.19
다사57004275,5034.27,5582.43,10616.7
다사56755275,5332.75,5279.47,10612.22
다사63254500,5353.48,5236.47,10589.95
다사67754750,5253.01,5325.02,10578.04
다사58756100,5202.05,5372.5,10574.55
다사60255475,5351.23,5191.67,10542.9
다사46005275,5270.29,5264.36,10534.65
다사44754975,5214.89,5317.82,10532.71
다사57255275,5282.4,5250.24,10532.64
다사43504425,5327.77,5203.98,10531.75
다사57004300,5204.9,5320.8,10525.7
다사51255075,5401.59,5118.65,10520.24
다사58255025,5390.37,5118.15,10508.52
다사56005350,5097.39,5409.41,10506.8
다사49504975,5307.86,5194.33,10502.19
다사57255650,5286.67,5214.08,10500.75
다사59005050,5323.18,5173.18,10496.36
다사60254950,5193.8,5287.34,10481.14
다사64754650,5437.38,5039.85,10477.23
다사63005750,5527.57,4947.78,10475.35
다사64004275,5588.69,4886.14,10474.83
다사43254425,5262.41,5200.45,10462.86
다사47505400,5424.14,5034.53,10458.67
다사60006300,5329.52,5121.2,10450.72
다사47754375,5195.47,5253.15,10448.62
다사66504925,5312.69,5130.64,10443.33
다사49004450,5295.53,5146.75,10442.28
다사64754925,5495.34,4935.12,10430.46
다사43004350,5334.14,5090.46,10424.6
다사58754500,5185.25,5239.32,10424.56
다사66755025,5267.49,5156.41,10423.9
