CELL_ID,위도,경도,생활이동인구,스트라바이용자수,거주인구,녹시율,공원겹침비율
다사62005225,37.56996584629919,127.071102192126,15495.46,0.0,1986.3,0.3717785802514761,0.0
다사57005475,37.592279617130295,127.0143374230807,16316.535,358.625,1381.8,0.3647720652342571,0.0
다사53505150,37.56281703464044,126.97489871804078,17615.105,0.0,144.3,1.0,0.0
다사46504250,37.48131974030069,126.89629589192536,17378.82,0.0,1402.7,0.0,0.0
다사48255425,37.58732366030924,126.91526220013692,15192.48,0.0,1977.2,0.313978922666453,0.0
다사49505575,37.60091255953228,126.92931661187477,16781.254999999997,0.0,1717.3,0.6284324433728962,0.0
다사54004225,37.47946939237416,126.98113764629319,15094.55,0.0,1786.3,0.5508807084465193,0.0
다사58504325,37.48869532397485,127.031976365147,11606.935,0.0,1250.1,0.6399280669852396,0.0
다사54755175,37.56513243763925,126.98903647853827,15332.945,0.0,239.6,1.0,0.0
다사61506275,37.66458402398135,127.06488917600332,15726.92,0.0,1701.9,1.0,0.0
다사59254500,37.50450204416352,127.04036325990215,17342.825,0.0,908.6,0.1202945989767296,0.0
다사62754575,37.511409546779156,127.07992383246885,15635.37,0.0,1411.3,0.2861289464018043,0.0
다사49255100,37.558086641405076,126.92681286789743,15504.72,285.0,824.9,0.34903400730993,0.0
다사58754750,37.52701325852495,127.03456643704827,16570.585,0.0,682.9,0.4058597373254956,0.0
다사57504650,37.51794334436761,127.02047765768417,16829.29,0.0,1144.1,0.2613948401991734,0.0
다사39755150,37.562021960130984,126.8192172288862,12029.77,0.0,475.6,0.0086511739575972,0.0
다사51754425,37.49738145388145,126.95555956708907,16253.94,340.0,1871.5,0.0,0.0
다사44755000,37.548815259840886,126.87594071926925,14085.88,0.0,1491.5,0.3944699729447728,0.0
다사53754650,37.51776344131991,126.9780435990507,15140.825,0.0,544.1,0.4557639933539448,0.0
다사60004500,37.50453475671205,127.04884861814804,16449.535,0.0,1514.5,0.3415971346123621,0.0
다사49254450,37.49950103130402,126.92726099888752,16127.34,0.0,1438.1,0.6059307603263863,0.0
다사50504250,37.481542243027526,126.94153630759202,15527.765,0.0,1922.7,0.2507137966956254,0.0
다사59004450,37.49998432007791,127.03756260654289,16472.345,0.0,1535.9,0.5199943866938134,0.0
다사63505350,37.5812929806448,127.08802576798067,15729.329999999998,0.0,291.8,0.2424042512748346,0.0
다사67754825,37.53413082512477,127.13638928144164,16824.504999999997,0.0,2042.7,0.4403861259489289,0.0
다사55004825,37.53359832943438,126.9920813118729,15064.915,0.0,647.0,0.6384818323927297,0.0
다사56004825,37.53364646634273,127.00339944035886,14321.65,0.0,381.8,0.5519212259799183,0.108
다사46004175,37.47453081749323,126.89069576405451,16703.3,0.0,615.0,0.003573445898186,0.0
다사47504500,37.50390997677596,126.90742795137342,16476.7,0.0,1495.8,0.006930282766882,0.0
다사54005275,37.574108566594816,126.98048172638508,15822.165,0.0,0.0,0.0,0.0
다사59005125,37.560824267911464,127.03718683329518,16496.305,0.0,1494.4,0.0992735919472903,0.0
다사60254475,37.5022921792429,127.05169054786907,16384.6,0.0,1691.3,0.1572861704771199,0.0
다사53505250,37.5718302187631,126.97483544206698,14585.88,0.0,486.8,0.0,0.0
다사67254875,37.53861997656347,127.13070785385372,12576.45,0.0,2911.9,0.0007711835942145,0.0
다사51254250,37.48158203392711,126.95001893991771,15468.68,0.0,2179.4,0.7224514779649076,0.0
다사67004525,37.507064048915524,127.12803473606311,15632.105,0.0,1423.6,0.7706544708175622,0.0
다사66004350,37.49125431354922,127.11680104603985,16193.67,1.0909090909090908,912.9,0.4774902190382551,0.0
다사56505050,37.55394998068349,127.00892550803111,16338.145,0.0,1648.4,0.2931278426550458,0.0
다사62755850,37.62632935205284,127.07927792828681,15766.260000000002,0.0,373.1,0.4514191438124957,0.0
다사53755150,37.56282959049251,126.97772934467457,16503.29,0.0,144.3,0.5324177109871938,0.0
다사60005375,37.583401297838385,127.04837310272775,16623.82,0.0,1148.3,0.6336295205341913,0.0
다사48504700,37.52199255260161,126.91860161817007,18902.67,1205.5,245.1,0.6249042186444081,0.225
다사45754650,37.51732869936608,126.88751896199815,13787.465,0.0,1125.3,0.3340882743133244,0.0
다사68505000,37.5499301573718,127.14480327297939,14774.065,0.0,2486.7,0.535409549805226,0.0
다사61505125,37.56093183400944,127.06549267896044,13805.07,0.0,764.8,0.488969521903602,0.0
다사57004650,37.51792023808354,127.01481976162752,14260.765,0.0,954.3,0.6407969823094775,0.098
다사58504350,37.490948669165576,127.03196230560971,15667.685,0.0,965.6,0.4576368627230181,0.0
다사68254875,37.53865483151374,127.14202694779975,25879.54,0.0,1712.1,0.0708736755767149,0.0
다사57505475,37.592302785167035,127.02000094336601,16123.13,0.0,1298.1,0.3798602605795201,0.0
다사59255125,37.56083532988681,127.04001741103268,15699.065,0.0,817.1,0.257723754360609,0.0
다사46504750,37.5263855345393,126.89593289905446,14775.1,0.0,1762.6,0.4706832761789207,0.141
다사42504675,37.51938553372084,126.85072438689991,13576.335,0.0,1129.1,0.0,0.0
다사54005125,37.560588778257454,126.98057561716722,14879.895,0.0,273.2,0.5532113091261037,0.0
다사64504600,37.51373166453212,127.09971291498404,16018.315,0.0,1039.8,0.5969198054515695,0.0
다사66004375,37.493507682609916,127.11678953355054,15483.73,0.0,1285.9,0.5680127277028094,0.0
다사58505400,37.585588384831894,127.03137038900334,16963.27,0.0,830.8,1.0,0.0
다사62004300,37.4865921689331,127.07157929723476,14178.71,0.0,1150.6,0.7908617639710813,0.0
다사69504300,37.48686933833542,127.15641351132258,14715.105,0.0,9.6,0.0,0.0
다사55504250,37.481796012903395,126.9980874949008,14739.79,46.85714285714285,1113.1,0.6221838419572853,0.084
다사58254700,37.522484160813306,127.02893618227183,13368.315,0.0,802.0,0.4341241753810195,0.0
다사60004975,37.547348153565636,127.04859071120411,15492.06,0.0,807.3,0.2117162913248288,0.0
다사43005150,37.56222841172569,126.85601410712319,12105.245,0.0,1455.9,0.4307234617734537,0.0
