id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
4979168,Segment,26,98,0.46,10.8,South Korea,37.578845,127.062725,37.581934,127.064046
16942734,황소와악돌이10K,26,127,10.08,0.1,Bucheon,37.540073,126.820161,37.540765,126.82021
31588764,고덕교-광나루공원-고덕교_13k_BY.캐훈,25,50,12.95,-0.0,Gangdong-gu,37.564628,127.170468,37.564678,127.170437
29445995,별내_800_시계방향,25,107,0.85,0.1,Namyangju-si,37.671963,127.114714,37.672079,127.114625
20821614,진옥자전거캠프-남한산성(우익문-마천버스종점)(JOBC),24,112,2.63,-14.6,Gwangju-si,37.485267,127.175985,37.490346,127.158189
33138601,관악벽산-호압사,24,96,0.57,11.8,Geumcheon-gu,37.452417,126.916316,37.452539,126.920619
40064633,e편한 와리가리,24,766,1.04,-0.0,주교동,37.660024,126.837131,37.65999,126.83711
23396444,인라인 20lap,24,90,6.27,0.0,Nowon-gu,37.644125,127.055908,37.6441,127.055858
4871216,Segment,24,63,0.53,8.5,South Korea,37.463908,126.926507,37.461021,126.925611
28413448,진옥자전거캠프-북한산(대동문-4.19탑)(JOBC),24,26,1.87,-22.4,Goyang-si,37.640569,126.986442,37.642626,127.001031
25032012,진옥자전거캠프-소래산(쉼터-800계단입구)(JOBC),24,29,0.82,0.4,Namdong-gu,37.447366,126.768339,37.45045,126.773846
4280426,Segment,22,26,0.59,7.4,South Korea,37.54225,127.017067,37.546426,127.018917
27641932,종합운동장 10km,22,109,10.01,0.0,Nowon-gu,37.627434,127.099751,37.628103,127.099109
27310844,2021관악트레일 (개인확인용,22,28,9.91,-0.1,Gwanak-gu,37.476387,126.980142,37.476584,126.979799
33138871,진옥자전거캠프-광명4산(철산역-도덕산Segment),22,60,1.79,9.6,Gwangmyeong-si,37.475465,126.865849,37.465529,126.857354
6487492,Segment,21,27,1.03,7.0,South Korea,37.568006,126.929597,37.572121,126.925581
32806179,개화산 언덕 순환,21,54,2.29,-0.1,Gangseo-gu,37.576533,126.808089,37.57647,126.807921
26032053,UTKC_관악산왕복버티컬레이스,21,36,14.48,0.2,Gwanak-gu,37.470349,126.977344,37.47015,126.977178
9685788,[휴레] 봉화산 둘레길 한 바퀴,21,73,4.01,0.0,Seoul,37.611262,127.082819,37.611045,127.082732
30522012,꽃향기 런,20,111,4.7,0.1,Goyang-si,37.605491,126.893687,37.605959,126.893271
41088300,호암산(호압사),20,76,0.98,26.2,Siheung 2(i)-dong,37.452542,126.921323,37.451139,126.928464
6487547,Segment,19,35,0.72,11.1,South Korea,37.632959,127.028234,37.62925,127.030585
